2023-12-15T09:53:16.863Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@65e620b0
2023-12-15T09:53:16.863Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@65e620b0
2023-12-15T09:53:16.863Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@74b97416
2023-12-15T09:53:16.863Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@74b97416
2023-12-15T09:53:16.863Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@74707df8
2023-12-15T09:53:16.863Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@74707df8
2023-12-15T09:53:16.864Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@12c76d6e
2023-12-15T09:53:16.864Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@12c76d6e
2023-12-15T09:53:16.864Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@46702c26
2023-12-15T09:53:16.864Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@7956f93a
2023-12-15T09:53:16.864Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@e3ed455
2023-12-15T09:53:16.864Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@e3ed455
2023-12-15T09:53:16.865Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@27bb74e1
2023-12-15T09:53:16.865Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@606d6d2c
2023-12-15T09:53:16.865Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@2e3cd732
2023-12-15T09:53:16.865Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@56d822dc
2023-12-15T09:53:16.866Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@56d822dc
2023-12-15T09:53:16.866Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@2ab8589a
2023-12-15T09:53:16.866Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@21b744ec
2023-12-15T09:53:16.866Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration date -> org.hibernate.type.BasicTypeReference@697a92af
2023-12-15T09:53:16.866Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@697a92af
2023-12-15T09:53:16.867Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration time -> org.hibernate.type.BasicTypeReference@7ea3839e
2023-12-15T09:53:16.867Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@7ea3839e
2023-12-15T09:53:16.867Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@16b76858
2023-12-15T09:53:16.867Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@16b76858
2023-12-15T09:53:16.867Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@16b76858
2023-12-15T09:53:16.867Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar -> org.hibernate.type.BasicTypeReference@d3cce46
2023-12-15T09:53:16.867Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@d3cce46
2023-12-15T09:53:16.868Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@d3cce46
2023-12-15T09:53:16.868Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@30eedaa4
2023-12-15T09:53:16.868Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@52b30054
2023-12-15T09:53:16.868Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration instant -> org.hibernate.type.BasicTypeReference@7f6b57f2
2023-12-15T09:53:16.869Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@7f6b57f2
2023-12-15T09:53:16.869Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid -> org.hibernate.type.BasicTypeReference@144ee8a7
2023-12-15T09:53:16.869Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@144ee8a7
2023-12-15T09:53:16.869Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@144ee8a7
2023-12-15T09:53:16.869Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@52b32b70
2023-12-15T09:53:16.870Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@18c820d2
2023-12-15T09:53:16.870Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration class -> org.hibernate.type.BasicTypeReference@3d3930fe
2023-12-15T09:53:16.870Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@3d3930fe
2023-12-15T09:53:16.870Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration currency -> org.hibernate.type.BasicTypeReference@5e51ec2e
2023-12-15T09:53:16.870Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration Currency -> org.hibernate.type.BasicTypeReference@5e51ec2e
2023-12-15T09:53:16.870Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@5e51ec2e
2023-12-15T09:53:16.870Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration locale -> org.hibernate.type.BasicTypeReference@15f2a43f
2023-12-15T09:53:16.872Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@15f2a43f
2023-12-15T09:53:16.872Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration serializable -> org.hibernate.type.BasicTypeReference@4c65d8e3
2023-12-15T09:53:16.872Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@4c65d8e3
2023-12-15T09:53:16.872Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration timezone -> org.hibernate.type.BasicTypeReference@382faf51
